REGION_NAME	CHROMOSOME	START	STOP	LENGTH	BASES_PROBE_COVERAGE	FRAC_PROBE_COVERAGE	BASES_ESTIMATED_COVERAGE	FRAC_ESTIMATED_COVERAGE	BASES_W_NO_PROBE_COV	BASES_W_NO_PROBE_COV_DUE_TO_N	BASES_W_NO_PROBE_COV_DUE_TO_REPEATS	BASES_W_NO_EST_COV	BASES_W_NO_EST_COV_DUE_TO_N	BASES_W_NO_EST_COV_DUE_TO_REPEATS
chrA01:1648862-1648933	chrA01	1648848	1648948	100	   63	0.630	  100	1.000	37	0	0	0	0	0
chrA01:1649014-1649085	chrA01	1649000	1649100	100	   50	0.500	  100	1.000	50	0	0	0	0	0
chrA01:1649187-1649263	chrA01	1649175	1649275	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:1649634-1649765	chrA01	1649634	1649765	131	  131	1.000	  131	1.000	0	0	0	0	0	0
chrA01:1649843-1650184	chrA01	1649843	1650184	341	  294	0.862	  341	1.000	47	0	0	0	0	0
chrA01:1650256-1650650	chrA01	1650256	1650650	394	  394	1.000	  394	1.000	0	0	0	0	0	0
chrA01:1650727-1651050	chrA01	1650727	1651050	323	  233	0.721	  323	1.000	90	0	0	0	0	0
chrA01:2077488-2077631	chrA01	2077488	2077631	143	  107	0.748	  143	1.000	36	0	0	0	0	0
chrA01:2077712-2077918	chrA01	2077712	2077918	206	  182	0.883	  206	1.000	24	0	0	0	0	0
chrA01:2078009-2078125	chrA01	2078009	2078125	116	  116	1.000	  116	1.000	0	0	0	0	0	0
chrA01:2078207-2078362	chrA01	2078207	2078362	155	  155	1.000	  155	1.000	0	0	0	0	0	0
chrA01:2078443-2078592	chrA01	2078443	2078592	149	  149	1.000	  149	1.000	0	0	0	0	0	0
chrA01:2078666-2078775	chrA01	2078666	2078775	109	  102	0.936	  109	1.000	7	0	0	0	0	0
chrA01:2078863-2078980	chrA01	2078863	2078980	117	  101	0.863	  117	1.000	16	0	0	0	0	0
chrA01:2079059-2079310	chrA01	2079059	2079310	251	  243	0.968	  251	1.000	8	0	0	0	0	0
chrA01:2079391-2079600	chrA01	2079391	2079600	209	  209	1.000	  209	1.000	0	0	0	0	0	0
chrA01:2079760-2080077	chrA01	2079760	2080077	317	  285	0.899	  317	1.000	32	0	0	0	0	0
chrA01:2080158-2080204	chrA01	2080131	2080231	100	   80	0.800	  100	1.000	20	0	0	0	0	0
chrA01:2080297-2080372	chrA01	2080285	2080385	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:2080461-2080539	chrA01	2080450	2080550	100	   91	0.910	  100	1.000	9	0	0	0	0	0
chrA01:2080630-2080715	chrA01	2080623	2080723	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:2080800-2081141	chrA01	2080800	2081141	341	  333	0.977	  341	1.000	8	0	0	0	0	0
chrA01:2083783-2083827	chrA01	2083755	2083855	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:2083916-2083994	chrA01	2083905	2084005	100	   92	0.920	  100	1.000	8	0	0	0	0	0
chrA01:2084085-2084170	chrA01	2084078	2084178	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:2084255-2084746	chrA01	2084255	2084746	491	  447	0.910	  491	1.000	44	0	0	0	0	0
chrA01:2084880-2084989	chrA01	2084880	2084989	109	  106	0.972	  109	1.000	3	0	0	0	0	0
chrA01:2085093-2085190	chrA01	2085092	2085192	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:2085992-2086023	chrA01	2085958	2086058	100	   95	0.950	  100	1.000	5	0	0	0	0	0
chrA01:3166824-3167781	chrA01	3166824	3167781	957	  957	1.000	  957	1.000	0	0	0	0	0	0
chrA01:3168094-3169058	chrA01	3168094	3169058	964	  964	1.000	  964	1.000	0	0	0	0	0	0
chrA01:3396617-3396879	chrA01	3396617	3396879	262	  262	1.000	  262	1.000	0	0	0	0	0	0
chrA01:3397391-3397454	chrA01	3397373	3397473	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:3397582-3397641	chrA01	3397562	3397662	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:3397739-3397801	chrA01	3397720	3397820	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:3397881-3397946	chrA01	3397864	3397964	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:3398078-3398152	chrA01	3398065	3398165	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:3398232-3398307	chrA01	3398220	3398320	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:3398382-3398529	chrA01	3398382	3398529	147	  147	1.000	  147	1.000	0	0	0	0	0	0
chrA01:3398608-3398689	chrA01	3398599	3398699	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:3398771-3398844	chrA01	3398758	3398858	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:3398926-3399037	chrA01	3398926	3399037	111	  111	1.000	  111	1.000	0	0	0	0	0	0
chrA01:3399115-3399189	chrA01	3399102	3399202	100	   64	0.640	  100	1.000	36	0	0	0	0	0
chrA01:3399274-3399341	chrA01	3399258	3399358	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:3399423-3399522	chrA01	3399423	3399523	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:3399632-3399733	chrA01	3399632	3399733	101	   95	0.941	  101	1.000	6	0	0	0	0	0
chrA01:4227707-4228990	chrA01	4227707	4228990	1283	 1283	1.000	 1283	1.000	0	0	0	0	0	0
chrA01:4229024-4229479	chrA01	4229024	4229479	455	  455	1.000	  455	1.000	0	0	0	0	0	0
chrA01:5404048-5404482	chrA01	5404048	5404482	434	  434	1.000	  434	1.000	0	0	0	0	0	0
chrA01:5404571-5404690	chrA01	5404571	5404690	119	  119	1.000	  119	1.000	0	0	0	0	0	0
chrA01:5404836-5404952	chrA01	5404836	5404952	116	  116	1.000	  116	1.000	0	0	0	0	0	0
chrA01:5405031-5405182	chrA01	5405031	5405182	151	  151	1.000	  151	1.000	0	0	0	0	0	0
chrA01:5405287-5405945	chrA01	5405287	5405945	658	  658	1.000	  658	1.000	0	0	0	0	0	0
chrA01:5406024-5406218	chrA01	5406024	5406218	194	  194	1.000	  194	1.000	0	0	0	0	0	0
chrA01:5406303-5406536	chrA01	5406303	5406536	233	  233	1.000	  233	1.000	0	0	0	0	0	0
chrA01:5406610-5407067	chrA01	5406610	5407067	457	  457	1.000	  457	1.000	0	0	0	0	0	0
chrA01:5407136-5407225	chrA01	5407131	5407231	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:5407301-5407552	chrA01	5407301	5407552	251	  251	1.000	  251	1.000	0	0	0	0	0	0
chrA01:5411918-5412340	chrA01	5411918	5412340	422	  422	1.000	  422	1.000	0	0	0	0	0	0
chrA01:5412450-5412569	chrA01	5412450	5412569	119	  119	1.000	  119	1.000	0	0	0	0	0	0
chrA01:5412740-5412856	chrA01	5412740	5412856	116	  116	1.000	  116	1.000	0	0	0	0	0	0
chrA01:5412944-5413098	chrA01	5412944	5413098	154	  154	1.000	  154	1.000	0	0	0	0	0	0
chrA01:5413190-5413824	chrA01	5413190	5413824	634	  634	1.000	  634	1.000	0	0	0	0	0	0
chrA01:5413864-5414136	chrA01	5413864	5414136	272	  272	1.000	  272	1.000	0	0	0	0	0	0
chrA01:5414208-5414480	chrA01	5414208	5414480	272	  272	1.000	  272	1.000	0	0	0	0	0	0
chrA01:5414555-5415009	chrA01	5414555	5415009	454	  454	1.000	  454	1.000	0	0	0	0	0	0
chrA01:5415083-5415187	chrA01	5415083	5415187	104	   53	0.510	  104	1.000	51	0	0	0	0	0
chrA01:5415261-5415479	chrA01	5415261	5415479	218	  218	1.000	  218	1.000	0	0	0	0	0	0
chrA01:6305248-6305574	chrA01	6305248	6305574	326	  326	1.000	  326	1.000	0	0	0	0	0	0
chrA01:6305658-6305825	chrA01	6305658	6305825	167	  167	1.000	  167	1.000	0	0	0	0	0	0
chrA01:6305996-6306169	chrA01	6305996	6306169	173	  151	0.873	  173	1.000	22	0	0	0	0	0
chrA01:6306252-6306442	chrA01	6306252	6306442	190	  190	1.000	  190	1.000	0	0	0	0	0	0
chrA01:6306838-6306919;chrA01:6306950-6307006	chrA01	6306829	6307028	199	  199	1.000	  199	1.000	0	0	0	0	0	0
chrA01:6945300-6945529	chrA01	6945300	6945529	229	  229	1.000	  229	1.000	0	0	0	0	0	0
chrA01:6945612-6945848	chrA01	6945612	6945848	236	  236	1.000	  236	1.000	0	0	0	0	0	0
chrA01:6945914-6945960	chrA01	6945887	6945987	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:6946080-6946198	chrA01	6946080	6946198	118	  118	1.000	  118	1.000	0	0	0	0	0	0
chrA01:6946285-6946445	chrA01	6946285	6946445	160	  160	1.000	  160	1.000	0	0	0	0	0	0
chrA01:6946613-6946722	chrA01	6946613	6946722	109	  109	1.000	  109	1.000	0	0	0	0	0	0
chrA01:6946810-6946909	chrA01	6946810	6946910	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:6947015-6947138	chrA01	6947015	6947138	123	  123	1.000	  123	1.000	0	0	0	0	0	0
chrA01:6947244-6947372	chrA01	6947244	6947372	128	  128	1.000	  128	1.000	0	0	0	0	0	0
chrA01:7065545-7066183	chrA01	7065545	7066183	638	  638	1.000	  638	1.000	0	0	0	0	0	0
chrA01:7066258-7066528	chrA01	7066258	7066528	270	  270	1.000	  270	1.000	0	0	0	0	0	0
chrA01:7066635-7066838	chrA01	7066635	7066838	203	  203	1.000	  203	1.000	0	0	0	0	0	0
chrA01:7066919-7067007	chrA01	7066913	7067013	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:7067087-7067157	chrA01	7067072	7067172	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:7067250-7067331	chrA01	7067241	7067341	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:7067422-7067484	chrA01	7067403	7067503	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:7067572-7067732	chrA01	7067572	7067732	160	  160	1.000	  160	1.000	0	0	0	0	0	0
chrA01:7067801-7067952	chrA01	7067801	7067952	151	  151	1.000	  151	1.000	0	0	0	0	0	0
chrA01:7068837-7068973	chrA01	7068837	7068973	136	  136	1.000	  136	1.000	0	0	0	0	0	0
chrA01:7069056-7069097	chrA01	7069027	7069127	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:7069188-7069229	chrA01	7069159	7069259	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:7069348-7069447	chrA01	7069348	7069448	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:7070002-7070063	chrA01	7069983	7070083	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:7070313-7070394	chrA01	7070304	7070404	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:7071226-7071407	chrA01	7071226	7071407	181	  181	1.000	  181	1.000	0	0	0	0	0	0
chrA01:7306609-7306786	chrA01	7306609	7306786	177	  177	1.000	  177	1.000	0	0	0	0	0	0
chrA01:7306903-7307112	chrA01	7306903	7307112	209	  209	1.000	  209	1.000	0	0	0	0	0	0
chrA01:7307273-7307682	chrA01	7307273	7307682	409	  409	1.000	  409	1.000	0	0	0	0	0	0
chrA01:7849560-7849838	chrA01	7849560	7849838	278	  268	0.964	  278	1.000	10	0	0	0	0	0
chrA01:7849968-7850339	chrA01	7849968	7850339	371	  371	1.000	  371	1.000	0	0	0	0	0	0
chrA01:7850856-7851287	chrA01	7850856	7851287	431	  431	1.000	  431	1.000	0	0	0	0	0	0
chrA01:8461495-8461947	chrA01	8461495	8461947	452	  452	1.000	  452	1.000	0	0	0	0	0	0
chrA01:8462023-8462291	chrA01	8462023	8462291	268	  268	1.000	  268	1.000	0	0	0	0	0	0
chrA01:8462394-8462574	chrA01	8462394	8462574	180	  180	1.000	  180	1.000	0	0	0	0	0	0
chrA01:9189207-9190562	chrA01	9189207	9190562	1355	 1355	1.000	 1355	1.000	0	0	0	0	0	0
chrA01:9237286-9237754	chrA01	9237286	9237754	468	  468	1.000	  468	1.000	0	0	0	0	0	0
chrA01:9237891-9237961	chrA01	9237876	9237976	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9238044-9238122	chrA01	9238033	9238133	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9239960-9240069	chrA01	9239960	9240069	109	  109	1.000	  109	1.000	0	0	0	0	0	0
chrA01:9240150-9240201	chrA01	9240126	9240226	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9240403-9240470	chrA01	9240387	9240487	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9240810-9240876	chrA01	9240793	9240893	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9240957-9241036	chrA01	9240947	9241047	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9241124-9241188	chrA01	9241106	9241206	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9241430-9241489	chrA01	9241410	9241510	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9241578-9241740	chrA01	9241578	9241740	162	  162	1.000	  162	1.000	0	0	0	0	0	0
chrA01:9242057-9242131	chrA01	9242044	9242144	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9242214-9242672	chrA01	9242214	9242672	458	  458	1.000	  458	1.000	0	0	0	0	0	0
chrA01:9242833-9243012	chrA01	9242833	9243012	179	  179	1.000	  179	1.000	0	0	0	0	0	0
chrA01:9243169-9243345	chrA01	9243169	9243345	176	  176	1.000	  176	1.000	0	0	0	0	0	0
chrA01:9243437-9243469	chrA01	9243403	9243503	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9243664-9243699	chrA01	9243632	9243732	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9243861-9243893	chrA01	9243827	9243927	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9244047-9244136	chrA01	9244042	9244142	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9596841-9596951	chrA01	9596841	9596951	110	  110	1.000	  110	1.000	0	0	0	0	0	0
chrA01:9597102-9597157	chrA01	9597080	9597180	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9597237-9597327	chrA01	9597232	9597332	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9597616-9597669	chrA01	9597593	9597693	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9597755-9597870	chrA01	9597755	9597870	115	  115	1.000	  115	1.000	0	0	0	0	0	0
chrA01:9598034-9598164	chrA01	9598034	9598164	130	  130	1.000	  130	1.000	0	0	0	0	0	0
chrA01:9598249-9598372	chrA01	9598249	9598372	123	  123	1.000	  123	1.000	0	0	0	0	0	0
chrA01:9598467-9598515	chrA01	9598441	9598541	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9598732-9598815	chrA01	9598724	9598824	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9598921-9599000	chrA01	9598911	9599011	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9599184-9599273	chrA01	9599179	9599279	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:9599365-9599776	chrA01	9599365	9599776	411	  411	1.000	  411	1.000	0	0	0	0	0	0
chrA01:10606538-10606655	chrA01	10606538	10606655	117	  117	1.000	  117	1.000	0	0	0	0	0	0
chrA01:10606775-10606914	chrA01	10606775	10606914	139	  139	1.000	  139	1.000	0	0	0	0	0	0
chrA01:10607020-10607192	chrA01	10607020	10607192	172	  172	1.000	  172	1.000	0	0	0	0	0	0
chrA01:10607610-10607703	chrA01	10607607	10607707	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:10607795-10607891	chrA01	10607793	10607893	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:10608123-10608182	chrA01	10608103	10608203	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:10608397-10608460	chrA01	10608379	10608479	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:10608556-10608755	chrA01	10608556	10608755	199	  199	1.000	  199	1.000	0	0	0	0	0	0
chrA01:10608846-10608853	chrA01	10608800	10608900	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:12184979-12185290	chrA01	12184979	12185290	311	  311	1.000	  311	1.000	0	0	0	0	0	0
chrA01:12185369-12185455	chrA01	12185362	12185462	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:12185489-12185902	chrA01	12185489	12185902	413	  413	1.000	  413	1.000	0	0	0	0	0	0
chrA01:12186068-12186115	chrA01	12186042	12186142	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:12186316-12187035	chrA01	12186316	12187035	719	  719	1.000	  719	1.000	0	0	0	0	0	0
chrA01:13403118-13403310	chrA01	13403118	13403310	192	  192	1.000	  192	1.000	0	0	0	0	0	0
chrA01:13405847-13406136	chrA01	13405847	13406136	289	  289	1.000	  289	1.000	0	0	0	0	0	0
chrA01:13406238-13406811	chrA01	13406238	13406811	573	  573	1.000	  573	1.000	0	0	0	0	0	0
chrA01:13406892-13406977	chrA01	13406885	13406985	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:13407875-13408252	chrA01	13407875	13408252	377	  377	1.000	  377	1.000	0	0	0	0	0	0
chrA01:13408348-13408921	chrA01	13408348	13408921	573	  573	1.000	  573	1.000	0	0	0	0	0	0
chrA01:13409009-13409094	chrA01	13409002	13409102	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:13409163-13409270	chrA01	13409163	13409270	107	  107	1.000	  107	1.000	0	0	0	0	0	0
chrA01:13409342-13409643	chrA01	13409342	13409643	301	  301	1.000	  301	1.000	0	0	0	0	0	0
chrA01:13409727-13409993	chrA01	13409727	13409993	266	  266	1.000	  266	1.000	0	0	0	0	0	0
chrA01:13410058-13410811	chrA01	13410058	13410811	753	  753	1.000	  753	1.000	0	0	0	0	0	0
chrA01:16404655-16405287	chrA01	16404655	16405287	632	  632	1.000	  632	1.000	0	0	0	0	0	0
chrA01:17493144-17493701	chrA01	17493144	17493701	557	  557	1.000	  557	1.000	0	0	0	0	0	0
chrA01:17831843-17832019	chrA01	17831843	17832019	176	  176	1.000	  176	1.000	0	0	0	0	0	0
chrA01:17832358-17832423	chrA01	17832341	17832441	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:17832521-17832643	chrA01	17832521	17832643	122	  122	1.000	  122	1.000	0	0	0	0	0	0
chrA01:17832713-17832793	chrA01	17832703	17832803	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:17832873-17832965	chrA01	17832869	17832969	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:17833061-17833136	chrA01	17833049	17833149	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:17833205-17833284	chrA01	17833195	17833295	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:17833365-17833436	chrA01	17833351	17833451	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:17833517-17833576	chrA01	17833497	17833597	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:17833646-17833742	chrA01	17833644	17833744	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:17833839-17833902	chrA01	17833821	17833921	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:17834015-17834074	chrA01	17833995	17834095	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:17834171-17834231	chrA01	17834151	17834251	100	   95	0.950	  100	1.000	5	0	0	0	0	0
chrA01:18402502-18402561	chrA01	18402482	18402582	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:18403423-18403873	chrA01	18403423	18403873	450	  450	1.000	  450	1.000	0	0	0	0	0	0
chrA01:18404400-18404468	chrA01	18404384	18404484	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:18404571-18404770	chrA01	18404571	18404770	199	  199	1.000	  199	1.000	0	0	0	0	0	0
chrA01:18404856-18405104	chrA01	18404856	18405104	248	  240	0.968	  248	1.000	8	0	0	0	0	0
chrA01:18972667-18972769	chrA01	18972667	18972769	102	  102	1.000	  102	1.000	0	0	0	0	0	0
chrA01:18972849-18972909	chrA01	18972829	18972929	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:18973021-18973321	chrA01	18973021	18973321	300	  300	1.000	  300	1.000	0	0	0	0	0	0
chrA01:18973392-18973485	chrA01	18973389	18973489	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:18973588-18973799	chrA01	18973588	18973799	211	  211	1.000	  211	1.000	0	0	0	0	0	0
chrA01:18974003-18974208	chrA01	18974003	18974208	205	  205	1.000	  205	1.000	0	0	0	0	0	0
chrA01:18975225-18975309	chrA01	18975217	18975317	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:19961760-19961970	chrA01	19961760	19961970	210	  210	1.000	  210	1.000	0	0	0	0	0	0
chrA01:19962063-19962382	chrA01	19962063	19962382	319	  267	0.837	  319	1.000	52	0	0	0	0	0
chrA01:20053153-20053333	chrA01	20053153	20053333	180	  180	1.000	  180	1.000	0	0	0	0	0	0
chrA01:20053423-20053691	chrA01	20053423	20053691	268	  222	0.828	  268	1.000	46	0	0	0	0	0
chrA01:20053776-20054279	chrA01	20053776	20054279	503	  503	1.000	  503	1.000	0	0	0	0	0	0
chrA01:20167283-20167699	chrA01	20167283	20167699	416	  266	0.639	  416	1.000	150	0	0	0	0	0
chrA01:20167932-20168082	chrA01	20167932	20168082	150	   79	0.527	  150	1.000	71	0	0	0	0	0
chrA01:20168171-20168738	chrA01	20168171	20168738	567	  521	0.919	  567	1.000	46	0	0	0	0	0
chrA01:20168810-20168965	chrA01	20168810	20168965	155	  133	0.858	  155	1.000	22	0	0	0	0	0
chrA01:20169047-20169242	chrA01	20169047	20169242	195	  195	1.000	  195	1.000	0	0	0	0	0	0
chrA01:20169618-20169991	chrA01	20169618	20169991	373	  363	0.973	  373	1.000	10	0	0	0	0	0
chrA01:20170069-20170109	chrA01	20170039	20170139	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20170195-20170236	chrA01	20170166	20170266	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20170325-20170387	chrA01	20170306	20170406	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20170497-20170562	chrA01	20170480	20170580	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20170648-20170719	chrA01	20170634	20170734	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20170820-20170891	chrA01	20170806	20170906	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20170976-20171047	chrA01	20170962	20171062	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20171125-20171196	chrA01	20171111	20171211	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20171286-20171357	chrA01	20171272	20171372	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20171445-20171516	chrA01	20171431	20171531	100	   98	0.980	  100	1.000	2	0	0	0	0	0
chrA01:20171602-20171673	chrA01	20171588	20171688	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20171776-20171847	chrA01	20171762	20171862	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20171936-20172004	chrA01	20171920	20172020	100	   99	0.990	  100	1.000	1	0	0	0	0	0
chrA01:20172103-20172174	chrA01	20172089	20172189	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20173041-20173212	chrA01	20173041	20173212	171	  171	1.000	  171	1.000	0	0	0	0	0	0
chrA01:20173292-20173388	chrA01	20173290	20173390	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:20188036-20189757	chrA01	20188036	20189757	1721	 1668	0.969	 1721	1.000	53	0	0	0	0	0
chrA01:20189815-20190027	chrA01	20189815	20190027	212	  196	0.925	  212	1.000	16	0	0	0	0	0
chrA01:21344668-21344765	chrA01	21344667	21344767	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:21344867-21344944	chrA01	21344856	21344956	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:21345039-21345270	chrA01	21345039	21345270	231	  231	1.000	  231	1.000	0	0	0	0	0	0
chrA01:21685683-21685742	chrA01	21685663	21685763	100	  100	1.000	  100	1.000	0	0	0	0	0	0
chrA01:21685817-21686119	chrA01	21685817	21686119	302	  268	0.887	  302	1.000	34	0	0	0	0	0
chrA01:21686299-21686520	chrA01	21686299	21686520	221	  221	1.000	  221	1.000	0	0	0	0	0	0
chrA01:21686600-21686719	chrA01	21686600	21686719	119	  119	1.000	  119	1.000	0	0	0	0	0	0
chrA01:21686956-21687558	chrA01	21686956	21687558	602	  597	0.992	  602	1.000	5	0	0	0	0	0
chrA01:21688707-21688885	chrA01	21688707	21688885	178	  178	1.000	  178	1.000	0	0	0	0	0	0
chrA01:21689070-21689226	chrA01	21689070	21689226	156	  156	1.000	  156	1.000	0	0	0	0	0	0
chrA01:22151641-22152319	chrA01	22151641	22152319	678	  673	0.993	  678	1.000	5	0	0	0	0	0
chrA01:22152753-22152882	chrA01	22152753	22152882	129	   79	0.612	  129	1.000	50	0	0	0	0	0
